start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.udpe_utilization,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre,cache_hit_ratio,fre_makespan_imbalance_ratio,fre_gaussian_set_overlap_ratio
2026-03-22T06:07:38.005419,21887749.272321444,228.43828928188802,114.21914464094401,hypernerf/interp,aleks-teapot,0.35,True,0.5,default_fifo,4,True,0.7,19175245.714285716,1371923.4374999907,6486263.508928599,0.27924937536767336,0.2856494843052387,1.0293391044782707,0.42013742976230645
2026-03-22T06:07:54.072307,9289209.736607142,538.2589199483654,269.1294599741827,hypernerf/interp,cut-lemon1,0.35,True,0.5,default_fifo,4,True,0.7,7693662.857142858,833831.9196428533,5720249.607142856,0.6101125564713579,0.38229005378482145,1.0036625889669548,0.39533987586064795
2026-03-22T06:08:23.534023,22663483.29464286,220.6192196934656,110.3096098467328,hypernerf/interp,hand1-dense-v2,0.35,True,0.5,default_fifo,4,True,0.7,19761840.000000004,1460832.5892857127,7974357.892857164,0.3480385771844355,0.3401492702804655,1.0015957851738702,0.5157570975258082
2026-03-22T06:08:42.829967,9816078.531249993,509.3683780220627,254.68418901103135,hypernerf/interp,interp-chicken,0.35,True,0.5,default_fifo,4,True,0.7,7501628.571428572,1435567.0982142787,8248923.866071421,0.840251635055327,0.5276877378587582,1.0001149167205428,0.48330261230968413
2026-03-22T06:09:04.269644,12073762.839285709,414.1211042949228,207.0605521474614,hypernerf/interp,slice-banana,0.35,True,0.5,default_fifo,4,True,0.7,9960685.714285715,1358398.9285714284,7932062.232142847,0.6533570847858481,0.4810384789043295,1.0037219256400807,0.5157621524800478
2026-03-22T06:09:30.568030,17141995.464285724,291.68132790707983,145.84066395353992,hypernerf/interp,torchocolate,0.35,True,0.5,default_fifo,4,True,0.7,14869697.142857146,1279445.2232142827,6702463.232142868,0.3880078137281698,0.4191087776223348,1.004307389890608,0.4157050966559339
2026-03-22T06:10:10.573488,21848054.084821448,228.85333314300348,114.42666657150174,hypernerf/interp,aleks-teapot,0.35,True,0.5,global_greedy,4,True,0.7,19175245.714285716,1302912.7232142845,6215918.946428595,0.283660971939922,0.21861371367753568,1.0018459338466041,0.30327804677285497
2026-03-22T06:10:26.685637,9302486.209821431,537.4907188490182,268.7453594245091,hypernerf/interp,cut-lemon1,0.35,True,0.5,global_greedy,4,True,0.7,7693662.857142858,825342.9910714265,5729599.741071436,0.6140322521526599,0.34826369126872064,1.0024814411998446,0.32079120469674166
2026-03-22T06:10:56.714270,22730969.285714265,219.9642231333422,109.9821115666711,hypernerf/interp,hand1-dense-v2,0.35,True,0.5,global_greedy,4,True,0.7,19761840.000000004,1506728.1696428629,8035902.419642859,0.3512478942549958,0.2692824067691409,1.00142268529229,0.4403820024992021
2026-03-22T06:11:18.475900,9949357.718749993,502.5450025359209,251.27250126796045,hypernerf/interp,interp-chicken,0.35,True,0.5,global_greedy,4,True,0.7,7501628.571428572,1474100.357142848,8357810.642857135,0.8398800773450327,0.47279683821056173,1.000184689220555,0.3925885898100582
2026-03-22T06:11:39.759294,12121099.839285715,412.50382112970414,206.25191056485207,hypernerf/interp,slice-banana,0.35,True,0.5,global_greedy,4,True,0.7,9960685.714285715,1391246.9196428542,7946438.651785706,0.6541328354174529,0.4418537815969211,1.0003990189918335,0.4380475629279044
2026-03-22T06:12:06.697581,17181951.821428567,291.00302759342054,145.50151379671027,hypernerf/interp,torchocolate,0.35,True,0.5,global_greedy,4,True,0.7,14869697.142857146,1366163.0357142794,6795139.633928565,0.3946340905430264,0.3052054187770607,1.0013683974089576,0.3499744748532241
2026-03-22T06:12:46.641694,21799969.03125,229.3581239878166,114.6790619939083,hypernerf/interp,aleks-teapot,0.35,True,0.5,hilbert_window,4,True,0.7,19175245.714285716,1224195.2678571353,6089436.446428575,0.2777201131521179,0.3350362800422506,1.0014492778522996,0.4555445019572178
2026-03-22T06:13:03.065059,9267396.33482143,539.5258624272858,269.7629312136429,hypernerf/interp,cut-lemon1,0.35,True,0.5,hilbert_window,4,True,0.7,7693662.857142858,772554.3750000051,5615377.642857146,0.6019221543866546,0.49399349458794756,1.0014526926328358,0.47960966203202
2026-03-22T06:13:32.925502,22699447.508928575,220.26967828328443,110.13483914164222,hypernerf/interp,hand1-dense-v2,0.35,True,0.5,hilbert_window,4,True,0.7,19761840.000000004,1493092.3660714496,8164588.062500008,0.3452230378997653,0.3637553760239452,1.0252057669777057,0.5610426017727353
