start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.udpe_utilization,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre,cache_hit_ratio,fre_makespan_imbalance_ratio,fre_gaussian_set_overlap_ratio
2026-03-22T05:30:16.990011,33797603.66964288,147.9394825997979,73.96974129989896,dynerf,coffee_martini,0.35,True,0.5,default_fifo,4,True,0.4,13425428.571428573,5829837.991071474,30966799.65178574,0.9160345628434834,0.6735370864198504,1.000225335175091,0.600133753071274
2026-03-22T05:31:16.984018,17476032.361607093,286.10613075908725,143.05306537954363,dynerf,cook_spinach,0.35,True,0.5,default_fifo,4,True,0.4,11737028.571428573,2933079.107142867,14987963.276785664,0.8574277627956515,0.6083202366897036,1.0002123274633101,0.6047906663309869
2026-03-22T05:32:03.230721,19602240.13392853,255.07288788620394,127.53644394310197,dynerf,cut_roasted_beef,0.35,True,0.5,default_fifo,4,True,0.4,12009240.0,3340147.9017856917,17069615.62499996,0.8706841098579878,0.624026198952621,1.000126804156007,0.6050387006383904
2026-03-22T05:33:16.939139,34051408.82589288,146.83680271689587,73.41840135844794,dynerf,flame_salmon_1,0.35,True,0.5,default_fifo,4,True,0.4,13575445.714285716,5949568.526785711,31182353.133928593,0.9155762412414096,0.6849062615513921,1.0001805179344352,0.619094286001809
2026-03-22T05:34:18.237894,16974593.794642895,294.55785867335317,147.27892933667658,dynerf,flame_steak,0.35,True,0.5,default_fifo,4,True,0.4,10494462.857142858,2909561.785714274,14751524.687500037,0.8688468689187386,0.6561945643429324,1.0002171106456572,0.6344683119684267
2026-03-22T05:35:05.603317,18836242.151785716,265.44572742849283,132.72286371424642,dynerf,sear_steak,0.35,True,0.5,default_fifo,4,True,0.4,10682434.285714285,3227273.839285705,16571444.250000002,0.879675064931965,0.6553816804250723,1.0001008892578174,0.6521893187167545
2026-03-22T05:36:20.602762,33948021.37500007,147.28398880065777,73.64199440032888,dynerf,coffee_martini,0.35,True,0.5,global_greedy,4,True,0.4,13425428.571428573,5874525.803571409,31074843.02678578,0.915351948107457,0.6597701440016756,1.000012461169648,0.6461042574256212
2026-03-22T05:37:21.053252,17642519.388392854,283.406235239256,141.703117619628,dynerf,cook_spinach,0.35,True,0.5,global_greedy,4,True,0.4,11737028.571428573,2946564.2410714217,15127418.160714284,0.8573547264389075,0.5830460371333978,1.0001005412602713,0.6557352160919595
2026-03-22T05:38:07.829180,19747988.08035714,253.1903492980828,126.5951746490414,dynerf,cut_roasted_beef,0.35,True,0.5,global_greedy,4,True,0.4,12009240.0,3365116.0714285863,17188486.11607143,0.8701660288707532,0.6031092228369332,1.0002134753268153,0.6517847983739846
2026-03-22T05:39:22.591279,34217831.78125003,146.1226424854831,73.06132124274156,dynerf,flame_salmon_1,0.35,True,0.5,global_greedy,4,True,0.4,13575445.714285716,6041611.607142845,31312492.83035717,0.9150340586588682,0.6647426323810988,1.0000642384581027,0.6612037259806135
2026-03-22T05:40:24.386239,17145148.419642888,291.6276883477771,145.81384417388855,dynerf,flame_steak,0.35,True,0.5,global_greedy,4,True,0.4,10494462.857142858,2950294.821428576,14899601.410714317,0.8688822793348138,0.6240642722366997,1.0001113863154267,0.6858016734454369
2026-03-22T05:41:12.285434,19046594.79464283,262.5141162454053,131.25705812270266,dynerf,sear_steak,0.35,True,0.5,global_greedy,4,True,0.4,10682434.285714285,3246070.5803571576,16750704.705357114,0.87941342335941,0.6273683182180829,1.000032124657559,0.699239949388907
2026-03-22T05:42:29.066112,32656238.38392857,153.11010230929406,76.55505115464703,dynerf,coffee_martini,0.35,True,0.5,hilbert_window,4,True,0.4,13425428.571428573,5336828.839285713,29825560.92857143,0.913303364855144,0.8084529191704829,1.0000170503981367,0.7918661588152551
2026-03-22T05:43:33.671763,17163042.96875002,291.32363119429687,145.66181559714843,dynerf,cook_spinach,0.35,True,0.5,hilbert_window,4,True,0.4,11737028.571428573,2684114.1964285783,14675192.857142877,0.8550035991799078,0.7145484169505563,1.000035409392576,0.7455421933505739
2026-03-22T05:44:21.775295,19164992.991071433,260.8923469123832,130.4461734561916,dynerf,cut_roasted_beef,0.35,True,0.5,hilbert_window,4,True,0.4,12009240.0,3052693.9285714454,16632418.705357147,0.8678277118793344,0.7395920488952872,1.0000304649117717,0.7521431561010885
2026-03-22T05:45:35.643292,32889433.299107134,152.02451056326765,76.01225528163383,dynerf,flame_salmon_1,0.35,True,0.5,hilbert_window,4,True,0.4,13575445.714285716,5462384.866071437,30020546.357142847,0.9127421364504412,0.8164324975106231,1.0000268488531998,0.8125332013666492
2026-03-22T05:46:42.122104,16660326.151785733,300.11417270268004,150.05708635134002,dynerf,flame_steak,0.35,True,0.5,hilbert_window,4,True,0.4,10494462.857142858,2675219.866071417,14437339.410714304,0.8665502559250744,0.7559049579891796,1.0000228246771172,0.7719026374806663
2026-03-22T05:47:32.502832,18458526.750000034,270.87752276871123,135.43876138435562,dynerf,sear_steak,0.35,True,0.5,hilbert_window,4,True,0.4,10682434.285714285,2975485.5803571483,16193811.214285748,0.8772675092130118,0.758105790470608,1.000042219901523,0.7866345043976575
2026-03-22T05:48:51.645870,32655211.52678572,153.11491692217967,76.55745846108984,dynerf,coffee_martini,0.35,True,0.5,hilbert_window,8,True,0.4,13425428.571428573,5481200.0892857555,29824461.750000007,0.9132990686675031,0.791878575246055,1.0000043955080118,0.7928392607763576
2026-03-22T05:49:56.741659,17162100.924107157,291.33962223568034,145.66981111784017,dynerf,cook_spinach,0.35,True,0.5,hilbert_window,8,True,0.4,11737028.571428573,2742115.5803571497,14674234.741071442,0.8549955635777757,0.700449813500574,1.0000485623319961,0.7462042498353495
2026-03-22T05:50:45.009173,19182047.633928537,260.66038910028425,130.33019455014212,dynerf,cut_roasted_beef,0.35,True,0.5,hilbert_window,8,True,0.4,12009240.0,3122169.107142837,16649445.223214252,0.8679424495467444,0.7228600860368342,1.0000319427752942,0.751184498818465
2026-03-22T05:51:59.202474,32886407.334821396,152.0384987357925,76.01924936789625,dynerf,flame_salmon_1,0.35,True,0.5,hilbert_window,8,True,0.4,13575445.714285716,5615628.749999996,30017454.098214254,0.9127322245888417,0.7994344174008695,1.000030534933661,0.8124970445036139
2026-03-22T05:53:05.464192,16661867.982142871,300.08640119815385,150.04320059907693,dynerf,flame_steak,0.35,True,0.5,hilbert_window,8,True,0.4,10494462.857142858,2729230.3124999925,14438849.0982143,0.8665600441106499,0.742861500097965,1.0000200728085913,0.7716971481832117
2026-03-22T05:53:55.654414,18461645.5,270.8317630733403,135.41588153667016,dynerf,sear_steak,0.35,True,0.5,hilbert_window,8,True,0.4,10682434.285714285,3032545.1785714123,16196889.785714285,0.877286843074781,0.7453231732799279,1.0000451395338337,0.7862665663056849
2026-03-22T05:55:15.190431,32655776.232142877,153.1122691574096,76.5561345787048,dynerf,coffee_martini,0.35,True,0.5,hilbert_window,16,True,0.4,13425428.571428573,5517256.741071476,29824921.991071448,0.9132965017331445,0.7877612637156982,1.0000172944558114,0.7962651470832298
2026-03-22T05:56:20.308531,17164194.674107138,291.30408358410756,145.65204179205378,dynerf,cook_spinach,0.35,True,0.5,hilbert_window,16,True,0.4,11737028.571428573,2783581.8750000023,14676125.589285709,0.8550016288358854,0.6899825943779011,1.0000451756225677,0.7455383904818726
2026-03-22T05:57:08.095950,19165961.410714284,260.8791645174067,130.43958225870335,dynerf,cut_roasted_beef,0.35,True,0.5,hilbert_window,16,True,0.4,12009240.0,3167507.812500011,16633290.696428569,0.8678255271574328,0.7152220602768797,1.0000300476913626,0.7512821339443204
2026-03-22T05:58:23.954849,32981293.71875002,151.60108765404422,75.80054382702211,dynerf,flame_salmon_1,0.35,True,0.5,hilbert_window,16,True,0.4,13575445.714285716,5668597.767857149,30112173.741071448,0.9129766779310982,0.7872774939235915,1.00003239426284,0.8032173667618817
2026-03-22T05:59:30.338544,16663842.633928576,300.05084120391905,150.02542060195952,dynerf,flame_steak,0.35,True,0.5,hilbert_window,16,True,0.4,10494462.857142858,2770735.98214286,14440745.40178572,0.8665706802239713,0.7326732619744624,1.0000140163583762,0.7711054983802443
2026-03-22T06:00:19.788167,18459859.017857134,270.8579732468841,135.42898662344206,dynerf,sear_steak,0.35,True,0.5,hilbert_window,16,True,0.4,10682434.285714285,3080065.178571444,16195028.973214276,0.8772713511185556,0.7353975283716235,1.0000412387299271,0.7862933928221572
2026-03-22T06:01:38.090624,32646681.500000037,153.15492326532467,76.57746163266233,dynerf,coffee_martini,0.35,True,0.5,hilbert_window,32,True,0.4,13425428.571428573,5489587.366071418,29815507.83928575,0.913262660429757,0.7915748498435072,1.0000135554692304,0.7948524856880368
