start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre,cache_hit_ratio
2026-03-18T04:38:04.853432,35689249.6875,112.07856805689535,56.039284028447675,dynerf,coffee_martini,False,0.3,default_fifo,4,False,0.5,10827552.0,10111704.375,32745573.125,0.9151003030070356,0.6685469988917122
2026-03-18T04:38:42.827450,13041651.53125,306.70962112546283,153.35481056273142,dynerf,cook_spinach,False,0.3,default_fifo,4,False,0.5,10556928.0,5069583.75,10171838.984375,0.7795826629262055,0.596493192486367
2026-03-18T04:39:16.298312,14280875.53125,280.0948717217677,140.04743586088384,dynerf,cut_roasted_beef,False,0.3,default_fifo,4,False,0.5,9962496.0,5769665.625,11140117.96875,0.776461185633233,0.6187456726271061
2026-03-18T04:40:08.850513,52216863.578125,76.60360515555178,38.30180257777589,dynerf,flame_salmon_1,False,0.3,default_fifo,4,False,0.5,11494816.0,10315587.5,49093835.0,0.9399667708342937,0.6865539913744215
2026-03-18T04:40:50.420988,14898360.34375,268.48592111534185,134.24296055767093,dynerf,flame_steak,False,0.3,default_fifo,4,False,0.5,9250848.0,5027659.375,12384915.15625,0.8264493613077568,0.649291250471259
2026-03-18T04:41:23.779103,19654560.859375,203.51510413380953,101.75755206690476,dynerf,sear_steak,False,0.3,default_fifo,4,False,0.5,9622592.0,5577232.5,17037924.484375,0.86327909164245,0.639760422933444
2026-03-18T04:42:59.977428,37986010.59375,105.30192398403997,52.65096199201999,dynerf,coffee_martini,True,0.3,default_fifo,4,False,0.5,6684864.0,10105346.25,36080062.03125,0.946949937340378,0.6666945794555064
2026-03-18T04:43:40.055595,20770646.140625,192.5794687810149,96.28973439050745,dynerf,cook_spinach,True,0.3,default_fifo,4,False,0.5,5844192.0,5069583.75,19079713.59375,0.9182204116749789,0.5996511733729353
2026-03-18T04:44:13.557827,16575420.6875,241.3211752155717,120.66058760778586,dynerf,cut_roasted_beef,True,0.3,default_fifo,4,False,0.5,5978336.0,5769665.625,14866844.84375,0.8886391160260559,0.6205833153453473
2026-03-18T04:45:06.437607,59440587.078125,67.29408635790641,33.647043178953204,dynerf,flame_salmon_1,True,0.3,default_fifo,4,False,0.5,6758816.0,10305541.25,57501622.5,0.9653767692207084,0.6804438188582476
2026-03-18T04:45:46.787657,21384677.84375,187.04981338631956,93.52490669315978,dynerf,flame_steak,True,0.3,default_fifo,4,False,0.5,5225760.0,5027659.375,19815501.71875,0.9231515124779959,0.6467231203233164
2026-03-18T04:46:21.219976,26071823.1875,153.4223353400839,76.71116767004195,dynerf,sear_steak,True,0.3,default_fifo,4,False,0.5,5318976.0,5577232.5,24534258.8125,0.9380463295946476,0.6459381776314103
