start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.udpe_utilization,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre,cache_hit_ratio
2026-03-22T02:32:04.588611,32656238.38392857,153.11010230929406,76.55505115464703,dynerf,coffee_martini,0.35,True,0.5,hilbert_window,4,True,0.4,13425428.571428573,5336828.839285713,29825560.92857143,0.913303364855144,0.8084529191704829
2026-03-22T02:33:04.398829,17163042.96875002,291.32363119429687,145.66181559714843,dynerf,cook_spinach,0.35,True,0.5,hilbert_window,4,True,0.4,11737028.571428573,2684114.1964285783,14675192.857142877,0.8550035991799078,0.7145484169505563
2026-03-22T02:33:50.207924,19164992.991071433,260.8923469123832,130.4461734561916,dynerf,cut_roasted_beef,0.35,True,0.5,hilbert_window,4,True,0.4,12009240.0,3052693.9285714454,16632418.705357147,0.8678277118793344,0.7395920488952872
2026-03-22T02:35:01.694734,32889433.299107134,152.02451056326765,76.01225528163383,dynerf,flame_salmon_1,0.35,True,0.5,hilbert_window,4,True,0.4,13575445.714285716,5462384.866071437,30020546.357142847,0.9127421364504412,0.8164324975106231
2026-03-22T02:36:02.888515,16660326.151785733,300.11417270268004,150.05708635134002,dynerf,flame_steak,0.35,True,0.5,hilbert_window,4,True,0.4,10494462.857142858,2675219.866071417,14437339.410714304,0.8665502559250744,0.7559049579891796
2026-03-22T02:36:51.255684,18458526.750000034,270.87752276871123,135.43876138435562,dynerf,sear_steak,0.35,True,0.5,hilbert_window,4,True,0.4,10682434.285714285,2975485.5803571483,16193811.214285748,0.8772675092130118,0.758105790470608
2026-03-22T02:38:08.152891,48606080.45535706,102.86778841573783,51.43389420786892,dynerf,coffee_martini,0.35,False,0.5,default_fifo,4,False,0.4,21738548.571428575,5829842.00892855,44107499.294642776,0.9071461493227737,0.6707936423628167
2026-03-22T02:39:03.287214,26063955.084821433,191.83581247466898,95.91790623733449,dynerf,cook_spinach,0.35,False,0.5,default_fifo,4,False,0.4,21202405.714285716,2933078.705357086,20851981.017857146,0.7988738858075626,0.6031606731792507
2026-03-22T02:39:47.305228,28334785.633928623,176.4615432280844,88.2307716140422,dynerf,cut_roasted_beef,0.35,False,0.5,default_fifo,4,False,0.4,20006022.85714286,3340147.9017857215,24195121.125000052,0.8537318419287679,0.620989031857814
2026-03-22T02:40:56.391616,50154450.14732148,99.69205096084633,49.846025480423165,dynerf,flame_salmon_1,0.35,False,0.5,default_fifo,4,False,0.4,23089011.428571433,5949568.526785698,45382434.455357194,0.9045969541290743,0.682824163108934
