start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre
2026-03-18T00:30:47.598356,66823152.8125,74.82436535177511,37.41218267588756,dynerf,coffee_martini,False,0.3,hilbert_window,16,False,0.5,13526208.0,13169775.0,63874454.84375,0.9556086138118044
2026-03-18T00:31:36.966295,18680707.15625,267.65582042364764,133.82791021182382,dynerf,cook_spinach,False,0.3,hilbert_window,16,False,0.5,13192608.0,6508700.625,15812826.171875,0.8450459297304205
2026-03-18T00:32:16.566398,25090807.0,199.2761731418204,99.6380865709102,dynerf,cut_roasted_beef,False,0.3,hilbert_window,16,False,0.5,12448192.0,7443012.5,22379541.25,0.8893253245351973
2026-03-18T00:33:21.836242,76334474.046875,65.50120456623085,32.75060228311543,dynerf,flame_salmon_1,False,0.3,hilbert_window,16,False,0.5,14366496.0,13481988.75,73201641.875,0.9577567515003791
2026-03-18T00:34:13.942009,24877477.53125,200.9850071704102,100.4925035852051,dynerf,flame_steak,False,0.3,hilbert_window,16,False,0.5,11560384.0,6486525.625,22358683.125,0.8953578126724291
2026-03-18T00:34:54.356163,25330229.875,197.39260262042924,98.69630131021462,dynerf,sear_steak,False,0.3,hilbert_window,16,False,0.5,12019744.0,7228676.25,22195433.59375,0.8644152963520036
2026-03-18T00:37:22.301110,35689249.6875,140.09821007111918,70.04910503555959,dynerf,coffee_martini,False,0.3,default_fifo,16,False,0.5,13526208.0,12642280.625,32745573.125,0.9151003030070356
2026-03-18T00:38:08.287089,42582986.203125,117.41778691023481,58.708893455117405,dynerf,cook_spinach,False,0.3,default_fifo,16,False,0.5,13192608.0,6333688.75,38434919.140625,0.902094694680688
2026-03-18T00:38:52.121789,53540552.09375,93.38715804134694,46.69357902067347,dynerf,cut_roasted_beef,False,0.3,default_fifo,16,False,0.5,12448192.0,7220065.0,50399794.53125,0.9380502989676924
2026-03-18T00:39:58.501557,52216863.578125,95.75450644443973,47.87725322221986,dynerf,flame_salmon_1,False,0.3,default_fifo,16,False,0.5,14366496.0,12903337.5,49093835.0,0.9399667708342937
2026-03-18T00:40:49.811082,14898360.34375,335.6074013941773,167.80370069708866,dynerf,flame_steak,False,0.3,default_fifo,16,False,0.5,11560384.0,6282707.5,12384915.15625,0.8264493613077568
2026-03-18T00:41:31.274413,19654560.859375,254.3938801672619,127.19694008363095,dynerf,sear_steak,False,0.3,default_fifo,16,False,0.5,12019744.0,6974271.875,17037924.484375,0.86327909164245
2026-03-18T01:12:25.609771,36949419.015625,135.3201250034709,67.66006250173545,dynerf,coffee_martini,False,0.3,hilbert_window,4,False,0.5,13526208.0,12999636.875,34005738.078125,0.918678144751969
2026-03-18T01:13:10.874636,43276808.703125,115.53532133802999,57.767660669014994,dynerf,cook_spinach,False,0.3,hilbert_window,4,False,0.5,13192608.0,6426338.125,38739630.0,0.8904566177113314
2026-03-18T01:13:54.554707,50011784.34375,99.9764368660214,49.9882184330107,dynerf,cut_roasted_beef,False,0.3,hilbert_window,4,False,0.5,12448192.0,7349475.625,47294519.28125,0.9420968117090008
2026-03-18T01:15:00.069028,45408335.109375,110.11194283949204,55.05597141974602,dynerf,flame_salmon_1,False,0.3,hilbert_window,4,False,0.5,14366496.0,13224764.375,42143510.46875,0.9242134459698127
2026-03-18T01:15:47.973159,14443459.40625,346.1774537086587,173.08872685432934,dynerf,flame_steak,False,0.3,hilbert_window,4,False,0.5,11560384.0,6402683.75,11930014.21875,0.8251309858135809
2026-03-18T01:16:29.775707,17839091.21875,280.2833361121382,140.1416680560691,dynerf,sear_steak,False,0.3,hilbert_window,4,False,0.5,12019744.0,7149489.375,15221411.09375,0.8502722735390744
