start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.udpe_utilization,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre,cache_hit_ratio
2026-03-19T02:47:24.303486,21848177.129464306,228.85204428597535,114.42602214298768,hypernerf/interp,aleks-teapot,0.35,True,0.5,hilbert_window,4,True,0.7,19175245.714285716,1327786.4732142668,6307065.142857142,0.2844110614330331,0.19892533123316455
2026-03-19T02:47:42.771796,9333434.825892862,535.708460311843,267.8542301559215,hypernerf/interp,cut-lemon1,0.35,True,0.5,hilbert_window,4,True,0.7,7693662.857142858,888961.339285718,5956131.223214288,0.6173415864081288,0.2696750496066075
2026-03-19T02:48:17.295256,22831368.098214284,218.99695097075966,109.49847548537983,hypernerf/interp,hand1-dense-v2,0.35,True,0.5,hilbert_window,4,True,0.7,19761840.000000004,1566912.4553571437,9013752.580357142,0.35277053044628487,0.21475261343256524
2026-03-19T02:48:39.468301,10148878.80803572,492.6652583575123,246.33262917875615,hypernerf/interp,interp-chicken,0.35,True,0.5,hilbert_window,4,True,0.7,7501628.571428572,1605370.9821428582,8581589.571428576,0.8402751592564299,0.36108281662848235
2026-03-19T02:49:01.232021,12167126.785714291,410.9433630518766,205.4716815259383,hypernerf/interp,slice-banana,0.35,True,0.5,hilbert_window,4,True,0.7,9960685.714285715,1509638.7053571336,8377398.178571427,0.6650959620631766,0.3284629222180017
2026-03-19T02:49:26.581635,17198337.18750001,290.7257803756789,145.36289018783944,hypernerf/interp,torchocolate,0.35,True,0.5,hilbert_window,4,True,0.7,14869697.142857146,1419782.544642874,6951716.419642867,0.39707287835729876,0.2740385474532309
2026-03-19T02:50:05.395888,47679780.56696427,104.86625442786398,52.43312721393199,hypernerf/interp,aleks-teapot,0.35,False,0.5,default_fifo,4,False,0.7,43682554.28571428,1371923.4375000782,12992156.705357151,0.25292808096330105,0.2829738333759595
2026-03-19T02:50:20.743994,16575114.263392864,301.65704564962186,150.82852282481093,hypernerf/interp,cut-lemon1,0.35,False,0.5,default_fifo,4,False,0.7,14472565.714285716,833831.9196428587,8220889.517857166,0.48798951354998915,0.37574280794573384
2026-03-19T02:50:49.757649,44346942.633928575,112.74734407901761,56.373672039508804,hypernerf/interp,hand1-dense-v2,0.35,False,0.5,default_fifo,4,False,0.7,40095360.00000001,1460832.589285734,14553909.107142866,0.32357766842146674,0.325292495008973
2026-03-19T02:51:08.095356,18197508.15625001,274.762893747226,137.381446873613,hypernerf/interp,interp-chicken,0.35,False,0.5,default_fifo,4,False,0.7,12832302.85714286,1434498.34821427,15587176.348214297,0.8564715097066309,0.5167778348956119
2026-03-19T02:51:28.947085,18160821.776785724,275.31793778138973,137.65896889069487,hypernerf/interp,slice-banana,0.35,False,0.5,default_fifo,4,False,0.7,14689337.142857146,1358398.9285714347,14548040.250000002,0.7948387934787448,0.4841884599121342
2026-03-19T02:51:53.732626,31470088.732142862,158.88102644251867,79.44051322125934,hypernerf/interp,torchocolate,0.35,False,0.5,default_fifo,4,False,0.7,27818845.714285716,1279423.1249999972,13194016.669642888,0.41513052224705926,0.4143795377726493
